GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FoodRecipe,com.meal,Application,5,3,0,0,2,1,1,1,1,1
FoodRecipe,com.meal.client,RecipeSearch,2,44,1,1,1,7,1,3,0,3
FoodRecipe,com.meal.client,NutSearch,2,48,1,1,1,11,1,2,0,2
FoodRecipe,com.meal.controller,Controller,22,225,2,4,10,40,2,6,0,5
FoodRecipe,com.meal.controller,Controller.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
FoodRecipe,com.meal.config,SwaggerConfig,0,48,0,0,0,11,0,3,0,3
FoodRecipe,com.meal.bean,Nutinfo,67,87,0,0,1,37,1,25,1,25
FoodRecipe,com.meal.bean,Ingredient,48,34,0,0,9,12,5,7,5,7
FoodRecipe,com.meal.bean,MealInfo,3,0,0,0,1,0,1,0,1,0
FoodRecipe,com.meal.bean,Recipe,20,14,0,0,2,6,2,4,2,4
FoodRecipe,com.meal.bean,IngredientInfo,17,17,0,0,1,7,1,5,1,5
FoodRecipe,com.meal.exception,MealNotFound,16,0,0,0,8,0,4,0,4,0
